uniqueID,preLimVal,region,hemi,genotype,postLimVal,removeRegion,parent,major,x,y
app_CA2_left,0.895233686,CA2,left,app,0.895233686,FALSE,CA2,HPF,app,CA2_left
app_CA2_right,0.803946935,CA2,right,app,0.803946935,FALSE,CA2,HPF,app,CA2_right
app_CA3_left,0.79765759,CA3,left,app,0.79765759,FALSE,CA3,HPF,app,CA3_left
app_CA3_right,0.809665474,CA3,right,app,0.809665474,FALSE,CA3,HPF,app,CA3_right
app_CB_left,-0.010208708,CB,left,app,0,FALSE,CB,CB,app,CB_left
app_CB_right,-0.508654017,CB,right,app,0,FALSE,CB,CB,app,CB_right
app_cc_left,0.494382989,cc,left,app,0.494382989,TRUE,cc,fiber tracts,app,cc_left
app_cc_right,0.421905576,cc,right,app,0.421905576,TRUE,cc,fiber tracts,app,cc_right
app_ccg_left,0.359851747,ccg,left,app,0.359851747,TRUE,ccg,fiber tracts,app,ccg_left
app_ccg_right,0.28466725,ccg,right,app,0.28466725,TRUE,ccg,fiber tracts,app,ccg_right
app_CEA_left,0.802242937,CEA,left,app,0.802242937,FALSE,CEA,STR,app,CEA_left
app_CEA_right,0.777088472,CEA,right,app,0.777088472,FALSE,CEA,STR,app,CEA_right
app_chpl_left,-0.265469522,chpl,left,app,0,TRUE,chpl,VS,app,chpl_left
app_chpl_right,-0.136542695,chpl,right,app,0,TRUE,chpl,VS,app,chpl_right
app_cing_left,0.529307309,cing,left,app,0.529307309,TRUE,cing,fiber tracts,app,cing_left
app_cing_right,0.426879506,cing,right,app,0.426879506,TRUE,cing,fiber tracts,app,cing_right
app_CL_left,0.604869763,CL,left,app,0.604869763,FALSE,CL,TH,app,CL_left
app_CL_right,0.621812163,CL,right,app,0.621812163,FALSE,CL,TH,app,CL_right
app_CLA_left,0.801309186,CLA,left,app,0.801309186,FALSE,CLA,CTXsp,app,CLA_left
app_CLA_right,0.803163463,CLA,right,app,0.803163463,FALSE,CLA,CTXsp,app,CLA_right
app_CLI_left,0.120188512,CLI,left,app,0.120188512,FALSE,CLI,MB,app,CLI_left
app_CLI_right,0.091876189,CLI,right,app,0.091876189,FALSE,CLI,MB,app,CLI_right
app_CM_left,0.423288729,CM,left,app,0.423288729,FALSE,CM,TH,app,CM_left
app_CM_right,0.694501851,CM,right,app,0.694501851,FALSE,CM,TH,app,CM_right
app_COA_left,0.913271591,COA,left,app,0.913271591,FALSE,COA,OLF,app,COA_left
app_COA_right,0.889562846,COA,right,app,0.889562846,FALSE,COA,OLF,app,COA_right
app_COAp_left,1.160220116,COAp,left,app,1,FALSE,COA,OLF,app,COAp_left
