uniqueID,preLimVal,region,hemi,mouse,treatment,postLimVal,removeRegion,parent,major,x,y
1152_mPFF_CLA_left,-0.256063693,CLA,left,1152,mPFF,0,FALSE,CLA,CTXsp,1152_mPFF,CLA_left
1152_mPFF_CLA_right,0.258445174,CLA,right,1152,mPFF,0.258445174,FALSE,CLA,CTXsp,1152_mPFF,CLA_right
1152_mPFF_CL_left,0.426496392,CL,left,1152,mPFF,0.426496392,FALSE,CL,TH,1152_mPFF,CL_left
1152_mPFF_CL_right,0.587254038,CL,right,1152,mPFF,0.587254038,FALSE,CL,TH,1152_mPFF,CL_right
1152_mPFF_CM_left,-0.010551766,CM,left,1152,mPFF,0,FALSE,CM,TH,1152_mPFF,CM_left
1152_mPFF_CM_right,-0.285221186,CM,right,1152,mPFF,0,FALSE,CM,TH,1152_mPFF,CM_right
1152_mPFF_COA_left,-0.348432683,COA,left,1152,mPFF,0,FALSE,COA,OLF,1152_mPFF,COA_left
1152_mPFF_COA_right,0.179912442,COA,right,1152,mPFF,0.179912442,FALSE,COA,OLF,1152_mPFF,COA_right
1152_mPFF_COAp_right,0.079073895,COAp,right,1152,mPFF,0.079073895,FALSE,COA,OLF,1152_mPFF,COAp_right
1152_mPFF_CP_left,0.01403594,CP,left,1152,mPFF,0.01403594,FALSE,CP,STR,1152_mPFF,CP_left
1152_mPFF_CP_right,0.142006298,CP,right,1152,mPFF,0.142006298,FALSE,CP,STR,1152_mPFF,CP_right
1152_mPFF_CS_left,0.040231679,CS,left,1152,mPFF,0.040231679,FALSE,CS,P,1152_mPFF,CS_left
1152_mPFF_CS_right,0.409262668,CS,right,1152,mPFF,0.409262668,FALSE,CS,P,1152_mPFF,CS_right
1152_mPFF_CTXsp_left,-0.613490396,CTXsp,left,1152,mPFF,0,FALSE,CTXsp,CTXsp,1152_mPFF,CTXsp_left
1152_mPFF_CTXsp_right,0.306079297,CTXsp,right,1152,mPFF,0.306079297,FALSE,CTXsp,CTXsp,1152_mPFF,CTXsp_right
1152_mPFF_DG_left,0.266892786,DG,left,1152,mPFF,0.266892786,FALSE,DG,HPF,1152_mPFF,DG_left
1152_mPFF_DG_right,0.260095577,DG,right,1152,mPFF,0.260095577,FALSE,DG,HPF,1152_mPFF,DG_right
1152_mPFF_DMH_left,0.00960938,DMH,left,1152,mPFF,0.00960938,FALSE,DMH,HY,1152_mPFF,DMH_left
1152_mPFF_DMH_right,0.092688797,DMH,right,1152,mPFF,0.092688797,FALSE,DMH,HY,1152_mPFF,DMH_right
1152_mPFF_DR_left,0.177404599,DR,left,1152,mPFF,0.177404599,FALSE,DR,MB,1152_mPFF,DR_left
1152_mPFF_DR_right,0.409154969,DR,right,1152,mPFF,0.409154969,FALSE,DR,MB,1152_mPFF,DR_right
1152_mPFF_ECT_right,0.261293535,ECT,right,1152,mPFF,0.261293535,FALSE,ECT,Isocortex,1152_mPFF,ECT_right
1152_mPFF_ENTl_left,-0.252282729,ENTl,left,1152,mPFF,0,FALSE,ENT,HPF,1152_mPFF,ENTl_left
1152_mPFF_ENTl_right,0.480698287,ENTl,right,1152,mPFF,0.480698287,FALSE,ENT,HPF,1152_mPFF,ENTl_right
1152_mPFF_ENTm_left,0.123321065,ENTm,left,1152,mPFF,0.123321065,FALSE,ENT,HPF,1152_mPFF,ENTm_left
1152_mPFF_ENTm_right,0.689697449,ENTm,right,1152,mPFF,0.689697449,FALSE,ENT,HPF,1152_mPFF,ENTm_right
1152_mPFF_EP_left,-0.658796718,EP,left,1152,mPFF,0,FALSE,EP,CTXsp,1152_mPFF,EP_left
1152_mPFF_EP_right,0.203030534,EP,right,1152,mPFF,0.203030534,FALSE,EP,CTXsp,1152_mPFF,EP_right
1152_mPFF_Eth_left,0.793898092,Eth,left,1152,mPFF,0.793898092,FALSE,Eth,TH,1152_mPFF,Eth_left
1152_mPFF_Eth_right,1.016884419,Eth,right,1152,mPFF,1,FALSE,Eth,TH,1152_mPFF,Eth_right
1152_mPFF_FC_left,0.772721358,FC,left,1152,mPFF,0.772721358,FALSE,FC,HPF,1152_mPFF,FC_left
1152_mPFF_FC_right,0.603612049,FC,right,1152,mPFF,0.603612049,FALSE,FC,HPF,1152_mPFF,FC_right
1152_mPFF_GU_left,-0.088455589,GU,left,1152,mPFF,0,FALSE,GU,Isocortex,1152_mPFF,GU_left
1152_mPFF_GU_right,0.453071302,GU,right,1152,mPFF,0.453071302,FALSE,GU,Isocortex,1152_mPFF,GU_right
1152_mPFF_HATA_left,0.023717226,HATA,left,1152,mPFF,0.023717226,FALSE,HATA,HPF,1152_mPFF,HATA_left
1152_mPFF_HATA_right,0.471663974,HATA,right,1152,mPFF,0.471663974,FALSE,HATA,HPF,1152_mPFF,HATA_right
1152_mPFF_HPF_left,-0.866113502,HPF,left,1152,mPFF,0,FALSE,HPF,HPF,1152_mPFF,HPF_left
1152_mPFF_HPF_right,-0.193758522,HPF,right,1152,mPFF,0,FALSE,HPF,HPF,1152_mPFF,HPF_right
1152_mPFF_HY_left,-0.048593146,HY,left,1152,mPFF,0,FALSE,HY,HY,1152_mPFF,HY_left
1152_mPFF_HY_right,0.05420181,HY,right,1152,mPFF,0.05420181,FALSE,HY,HY,1152_mPFF,HY_right
1152_mPFF_IA_right,0.350394095,IA,right,1152,mPFF,0.350394095,FALSE,IA,STR,1152_mPFF,IA_right
1152_mPFF_IC_left,0.374870142,IC,left,1152,mPFF,0.374870142,FALSE,IC,MB,1152_mPFF,IC_left
1152_mPFF_IC_right,0.608332176,IC,right,1152,mPFF,0.608332176,FALSE,IC,MB,1152_mPFF,IC_right
1152_mPFF_IG_left,0.519649028,IG,left,1152,mPFF,0.519649028,FALSE,IG,HPF,1152_mPFF,IG_left
1152_mPFF_IG_right,0.106091167,IG,right,1152,mPFF,0.106091167,FALSE,IG,HPF,1152_mPFF,IG_right
1152_mPFF_IIn_left,-0.772428154,IIn,left,1152,mPFF,0,TRUE,IIn,fiber tracts,1152_mPFF,IIn_left
1152_mPFF_IIn_right,-1.876892115,IIn,right,1152,mPFF,0,TRUE,IIn,fiber tracts,1152_mPFF,IIn_right
1152_mPFF_IMD_left,0.376783093,IMD,left,1152,mPFF,0.376783093,FALSE,IMD,TH,1152_mPFF,IMD_left
1152_mPFF_IMD_right,0.448984527,IMD,right,1152,mPFF,0.448984527,FALSE,IMD,TH,1152_mPFF,IMD_right
1152_mPFF_IV_left,-0.738524294,IV,left,1152,mPFF,0,FALSE,IV,MB,1152_mPFF,IV_left
1152_mPFF_IV_right,0.028396544,IV,right,1152,mPFF,0.028396544,FALSE,IV,MB,1152_mPFF,IV_right
1152_mPFF_In_left,-0.442936568,In,left,1152,mPFF,0,TRUE,In,fiber tracts,1152_mPFF,In_left
1152_mPFF_In_right,-0.555925051,In,right,1152,mPFF,0,TRUE,In,fiber tracts,1152_mPFF,In_right
1152_mPFF_LA_left,-1.116447593,LA,left,1152,mPFF,0,FALSE,LA,CTXsp,1152_mPFF,LA_left
1152_mPFF_LA_right,0.290014525,LA,right,1152,mPFF,0.290014525,FALSE,LA,CTXsp,1152_mPFF,LA_right
1152_mPFF_LD_left,0.764417073,LD,left,1152,mPFF,0.764417073,FALSE,LD,TH,1152_mPFF,LD_left
1152_mPFF_LGd_left,0.514760407,LGd,left,1152,mPFF,0.514760407,FALSE,LGd,TH,1152_mPFF,LGd_left
1152_mPFF_LGd_right,0.832594968,LGd,right,1152,mPFF,0.832594968,FALSE,LGd,TH,1152_mPFF,LGd_right
1152_mPFF_LGv_left,-0.008768344,LGv,left,1152,mPFF,0,FALSE,LGv,TH,1152_mPFF,LGv_left
1152_mPFF_LGv_right,-0.188911424,LGv,right,1152,mPFF,0,FALSE,LGv,TH,1152_mPFF,LGv_right
1152_mPFF_LHA_left,0.080041644,LHA,left,1152,mPFF,0.080041644,FALSE,LHA,HY,1152_mPFF,LHA_left
1152_mPFF_LHA_right,0.291801992,LHA,right,1152,mPFF,0.291801992,FALSE,LHA,HY,1152_mPFF,LHA_right
1152_mPFF_LH_left,0.10861064,LH,left,1152,mPFF,0.10861064,FALSE,LH,TH,1152_mPFF,LH_left
1152_mPFF_LH_right,0.140173169,LH,right,1152,mPFF,0.140173169,FALSE,LH,TH,1152_mPFF,LH_right
1152_mPFF_LPO_left,-0.535063671,LPO,left,1152,mPFF,0,FALSE,LPO,HY,1152_mPFF,LPO_left
1152_mPFF_LPO_right,-1.070287505,LPO,right,1152,mPFF,0,FALSE,LPO,HY,1152_mPFF,LPO_right
1152_mPFF_LP_left,0.6234838,LP,left,1152,mPFF,0.6234838,FALSE,LP,TH,1152_mPFF,LP_left
1152_mPFF_LP_right,0.73110835,LP,right,1152,mPFF,0.73110835,FALSE,LP,TH,1152_mPFF,LP_right
1152_mPFF_LS_left,0.365952547,LS,left,1152,mPFF,0.365952547,FALSE,LS,STR,1152_mPFF,LS_left
1152_mPFF_LS_right,0.341638622,LS,right,1152,mPFF,0.341638622,FALSE,LS,STR,1152_mPFF,LS_right
1152_mPFF_MB_left,0.263119158,MB,left,1152,mPFF,0.263119158,FALSE,MB,MB,1152_mPFF,MB_left
1152_mPFF_MB_right,0.38919014,MB,right,1152,mPFF,0.38919014,FALSE,MB,MB,1152_mPFF,MB_right
