uniqueID,preLimVal,region,hemi,mouse,treatment,postLimVal,removeRegion,parent,major,x,y
1152_mPFF_ACAd_left,22.84922857,ACAd,left,1152,mPFF,22.84922857,FALSE,ACA,Isocortex,1152_mPFF,ACAd_left
1152_mPFF_ACAd_right,12.71020467,ACAd,right,1152,mPFF,12.71020467,FALSE,ACA,Isocortex,1152_mPFF,ACAd_right
1152_mPFF_ACAv_left,21.06499974,ACAv,left,1152,mPFF,21.06499974,FALSE,ACA,Isocortex,1152_mPFF,ACAv_left
1152_mPFF_ACAv_right,16.44443285,ACAv,right,1152,mPFF,16.44443285,FALSE,ACA,Isocortex,1152_mPFF,ACAv_right
1152_mPFF_ACB_left,2.853466287,ACB,left,1152,mPFF,2.853466287,FALSE,ACB,STR,1152_mPFF,ACB_left
1152_mPFF_ACB_right,1.433375336,ACB,right,1152,mPFF,1.433375336,FALSE,ACB,STR,1152_mPFF,ACB_right
1152_mPFF_AId_left,8.601748776,AId,left,1152,mPFF,8.601748776,FALSE,AI,Isocortex,1152_mPFF,AId_left
1152_mPFF_AId_right,21.29320138,AId,right,1152,mPFF,21.29320138,FALSE,AI,Isocortex,1152_mPFF,AId_right
1152_mPFF_AIp_left,0,AIp,left,1152,mPFF,0,FALSE,AI,Isocortex,1152_mPFF,AIp_left
1152_mPFF_AIp_right,11.67265835,AIp,right,1152,mPFF,11.67265835,FALSE,AI,Isocortex,1152_mPFF,AIp_right
1152_mPFF_AIv_left,16.88462587,AIv,left,1152,mPFF,16.88462587,FALSE,AI,Isocortex,1152_mPFF,AIv_left
1152_mPFF_AIv_right,31.71219712,AIv,right,1152,mPFF,31.71219712,FALSE,AI,Isocortex,1152_mPFF,AIv_right
1152_mPFF_APr_left,17.8774738,APr,left,1152,mPFF,17.8774738,FALSE,APr,HPF,1152_mPFF,APr_left
1152_mPFF_APr_right,19.2542756,APr,right,1152,mPFF,19.2542756,FALSE,APr,HPF,1152_mPFF,APr_right
1152_mPFF_AQ_left,12.69915577,AQ,left,1152,mPFF,12.69915577,TRUE,AQ,VS,1152_mPFF,AQ_left
1152_mPFF_AQ_right,45.59617215,AQ,right,1152,mPFF,45.59617215,TRUE,AQ,VS,1152_mPFF,AQ_right
1152_mPFF_ARH_left,0,ARH,left,1152,mPFF,0,FALSE,ARH,HY,1152_mPFF,ARH_left
1152_mPFF_ARH_right,0,ARH,right,1152,mPFF,0,FALSE,ARH,HY,1152_mPFF,ARH_right
1152_mPFF_AT_left,0,AT,left,1152,mPFF,0,FALSE,AT,MB,1152_mPFF,AT_left
1152_mPFF_AT_right,0,AT,right,1152,mPFF,0,FALSE,AT,MB,1152_mPFF,AT_right
1152_mPFF_AUDd_left,5.128701943,AUDd,left,1152,mPFF,5.128701943,FALSE,AUDd,Isocortex,1152_mPFF,AUDd_left
1152_mPFF_AUDd_right,21.79211316,AUDd,right,1152,mPFF,21.79211316,FALSE,AUDd,Isocortex,1152_mPFF,AUDd_right
1152_mPFF_AUDp_right,46.46229495,AUDp,right,1152,mPFF,46.46229495,FALSE,AUDp,Isocortex,1152_mPFF,AUDp_right
1152_mPFF_AUDv_left,0,AUDv,left,1152,mPFF,0,FALSE,AUDv,Isocortex,1152_mPFF,AUDv_left
1152_mPFF_AUDv_right,14.08972249,AUDv,right,1152,mPFF,14.08972249,FALSE,AUDv,Isocortex,1152_mPFF,AUDv_right
1152_mPFF_AVPV_left,0,AVPV,left,1152,mPFF,0,FALSE,AVPV,HY,1152_mPFF,AVPV_left
1152_mPFF_AVPV_right,0,AVPV,right,1152,mPFF,0,FALSE,AVPV,HY,1152_mPFF,AVPV_right
1152_mPFF_BLA_left,3.524744964,BLA,left,1152,mPFF,3.524744964,FALSE,BLA,CTXsp,1152_mPFF,BLA_left
