mouse,Region ID,mpi,side,parent,daughter,treatment,sex,marker,% pathology pSYN
401,23,4,left,AAA,AAA,AD PHF/mPFF,f,pSyn,0.002758464
402,23,4,left,AAA,AAA,AD PHF/mPFF,f,pSyn,0
403,23,4,left,AAA,AAA,AD PHF/mPFF,f,pSyn,0
404,23,4,left,AAA,AAA,AD PHF/mPFF,f,pSyn,0.001403413
415,23,4,left,AAA,AAA,mPFF,f,pSyn,0
419,23,9,left,AAA,AAA,mPFF,f,pSyn,0
401,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.00093017
402,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
403,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
404,935,4,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.000417614
405,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.00011279
406,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.008842947
407,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
408,935,9,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
410,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0
411,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.001318282
412,935,6,left,ACAd,ACAd1,mPFF,f,pSyn,0.003854191
413,935,4,left,ACAd,ACAd1,mPFF,f,pSyn,0.007305264
414,935,4,left,ACAd,ACAd1,mPFF,f,pSyn,0.004371838
415,935,4,left,ACAd,ACAd1,mPFF,f,pSyn,0.006279539
416,935,4,left,ACAd,ACAd1,mPFF,f,pSyn,0.002580442
417,935,9,left,ACAd,ACAd1,mPFF,f,pSyn,0.002109394
419,935,9,left,ACAd,ACAd1,mPFF,f,pSyn,0.000294437
420,935,9,left,ACAd,ACAd1,mPFF,f,pSyn,0
421,935,9,left,ACAd,ACAd1,mPFF,f,pSyn,0.00029129
422,935,6,left,ACAd,ACAd1,AD PHF/mPFF,f,pSyn,0.000375731
423,935,6,left,ACAd,ACAd1,mPFF,f,pSyn,0.00047759
424,935,6,left,ACAd,ACAd1,mPFF,f,pSyn,0.000252827
401,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.00093017
402,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
403,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
404,211,4,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.000417614
405,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.00011279
406,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.008842947
407,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
408,211,9,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
410,211,6,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0
411,211,6,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.001318282
412,211,6,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.003854191
413,211,4,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.007305264
414,211,4,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.004371838
415,211,4,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.006279539
416,211,4,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.002580442
417,211,9,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.002109394
419,211,9,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.000294437
420,211,9,left,ACAd,ACAd2/3,mPFF,f,pSyn,0
421,211,9,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.00029129
422,211,6,left,ACAd,ACAd2/3,AD PHF/mPFF,f,pSyn,0.000375731
423,211,6,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.00047759
424,211,6,left,ACAd,ACAd2/3,mPFF,f,pSyn,0.000252827
401,1015,4,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0.00093017
402,1015,4,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0
403,1015,4,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0
404,1015,4,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0.000417614
405,1015,9,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0.00011279
406,1015,9,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0.008842947
407,1015,9,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0
408,1015,9,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0
410,1015,6,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0
411,1015,6,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0.001318282
412,1015,6,left,ACAd,ACAd5,mPFF,f,pSyn,0.003854191
413,1015,4,left,ACAd,ACAd5,mPFF,f,pSyn,0.007305264
414,1015,4,left,ACAd,ACAd5,mPFF,f,pSyn,0.004371838
415,1015,4,left,ACAd,ACAd5,mPFF,f,pSyn,0.006279539
416,1015,4,left,ACAd,ACAd5,mPFF,f,pSyn,0.002580442
417,1015,9,left,ACAd,ACAd5,mPFF,f,pSyn,0.002109394
419,1015,9,left,ACAd,ACAd5,mPFF,f,pSyn,0.000294437
420,1015,9,left,ACAd,ACAd5,mPFF,f,pSyn,0
421,1015,9,left,ACAd,ACAd5,mPFF,f,pSyn,0.00029129
422,1015,6,left,ACAd,ACAd5,AD PHF/mPFF,f,pSyn,0.000375731
423,1015,6,left,ACAd,ACAd5,mPFF,f,pSyn,0.00047759
424,1015,6,left,ACAd,ACAd5,mPFF,f,pSyn,0.000252827
401,919,4,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0.00093017
402,919,4,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0
403,919,4,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0
404,919,4,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0.000417614
405,919,9,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0.00011279
406,919,9,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0.008842947
407,919,9,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0
408,919,9,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0
410,919,6,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0
411,919,6,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0.001318282
412,919,6,left,ACAd,ACAd6a,mPFF,f,pSyn,0.003854191
413,919,4,left,ACAd,ACAd6a,mPFF,f,pSyn,0.007305264
414,919,4,left,ACAd,ACAd6a,mPFF,f,pSyn,0.004371838
415,919,4,left,ACAd,ACAd6a,mPFF,f,pSyn,0.006279539
416,919,4,left,ACAd,ACAd6a,mPFF,f,pSyn,0.002580442
417,919,9,left,ACAd,ACAd6a,mPFF,f,pSyn,0.002109394
419,919,9,left,ACAd,ACAd6a,mPFF,f,pSyn,0.000294437
420,919,9,left,ACAd,ACAd6a,mPFF,f,pSyn,0
421,919,9,left,ACAd,ACAd6a,mPFF,f,pSyn,0.00029129
422,919,6,left,ACAd,ACAd6a,AD PHF/mPFF,f,pSyn,0.000375731
423,919,6,left,ACAd,ACAd6a,mPFF,f,pSyn,0.00047759
424,919,6,left,ACAd,ACAd6a,mPFF,f,pSyn,0.000252827
401,927,4,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0.00093017
402,927,4,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0
403,927,4,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0
404,927,4,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0.000417614
405,927,9,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0.00011279
406,927,9,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0.008842947
407,927,9,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0
408,927,9,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0
410,927,6,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0
411,927,6,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0.001318282
412,927,6,left,ACAd,ACAd6b,mPFF,f,pSyn,0.003854191
413,927,4,left,ACAd,ACAd6b,mPFF,f,pSyn,0.007305264
414,927,4,left,ACAd,ACAd6b,mPFF,f,pSyn,0.004371838
415,927,4,left,ACAd,ACAd6b,mPFF,f,pSyn,0.006279539
416,927,4,left,ACAd,ACAd6b,mPFF,f,pSyn,0.002580442
417,927,9,left,ACAd,ACAd6b,mPFF,f,pSyn,0.002109394
419,927,9,left,ACAd,ACAd6b,mPFF,f,pSyn,0.000294437
420,927,9,left,ACAd,ACAd6b,mPFF,f,pSyn,0
421,927,9,left,ACAd,ACAd6b,mPFF,f,pSyn,0.00029129
422,927,6,left,ACAd,ACAd6b,AD PHF/mPFF,f,pSyn,0.000375731
423,927,6,left,ACAd,ACAd6b,mPFF,f,pSyn,0.00047759
424,927,6,left,ACAd,ACAd6b,mPFF,f,pSyn,0.000252827
401,588,4,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0
402,588,4,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0
403,588,4,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0
404,588,4,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0
405,588,9,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0
406,588,9,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0.000184322
407,588,9,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0.000491912
408,588,9,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0
410,588,6,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0.001542707
411,588,6,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0
412,588,6,left,ACAv,ACAv1,mPFF,f,pSyn,0.00079481
413,588,4,left,ACAv,ACAv1,mPFF,f,pSyn,0.000168328
414,588,4,left,ACAv,ACAv1,mPFF,f,pSyn,0.000433657
415,588,4,left,ACAv,ACAv1,mPFF,f,pSyn,0.001021035
416,588,4,left,ACAv,ACAv1,mPFF,f,pSyn,0.006981853
417,588,9,left,ACAv,ACAv1,mPFF,f,pSyn,0.007416736
419,588,9,left,ACAv,ACAv1,mPFF,f,pSyn,0.00172185
420,588,9,left,ACAv,ACAv1,mPFF,f,pSyn,0
421,588,9,left,ACAv,ACAv1,mPFF,f,pSyn,0
422,588,6,left,ACAv,ACAv1,AD PHF/mPFF,f,pSyn,0.000878818
423,588,6,left,ACAv,ACAv1,mPFF,f,pSyn,0.013669406
424,588,6,left,ACAv,ACAv1,mPFF,f,pSyn,0.000543946
401,296,4,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0
402,296,4,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0
403,296,4,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0
404,296,4,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0
405,296,9,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0
406,296,9,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0.000184322
407,296,9,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0.000491912
408,296,9,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0
410,296,6,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0.001542707
411,296,6,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0
412,296,6,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.00079481
413,296,4,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.000168328
414,296,4,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.000433657
415,296,4,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.001021035
416,296,4,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.006981853
417,296,9,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.007416736
419,296,9,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.00172185
420,296,9,left,ACAv,ACAv2/3,mPFF,f,pSyn,0
421,296,9,left,ACAv,ACAv2/3,mPFF,f,pSyn,0
422,296,6,left,ACAv,ACAv2/3,AD PHF/mPFF,f,pSyn,0.000878818
423,296,6,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.013669406
424,296,6,left,ACAv,ACAv2/3,mPFF,f,pSyn,0.000543946
401,772,4,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0
402,772,4,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0
403,772,4,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0
404,772,4,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0
405,772,9,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0
406,772,9,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0.000184322
407,772,9,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0.000491912
408,772,9,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0
410,772,6,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0.001542707
411,772,6,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0
412,772,6,left,ACAv,ACAv5,mPFF,f,pSyn,0.00079481
413,772,4,left,ACAv,ACAv5,mPFF,f,pSyn,0.000168328
414,772,4,left,ACAv,ACAv5,mPFF,f,pSyn,0.000433657
415,772,4,left,ACAv,ACAv5,mPFF,f,pSyn,0.001021035
416,772,4,left,ACAv,ACAv5,mPFF,f,pSyn,0.006981853
417,772,9,left,ACAv,ACAv5,mPFF,f,pSyn,0.007416736
419,772,9,left,ACAv,ACAv5,mPFF,f,pSyn,0.00172185
420,772,9,left,ACAv,ACAv5,mPFF,f,pSyn,0
421,772,9,left,ACAv,ACAv5,mPFF,f,pSyn,0
422,772,6,left,ACAv,ACAv5,AD PHF/mPFF,f,pSyn,0.000878818
423,772,6,left,ACAv,ACAv5,mPFF,f,pSyn,0.013669406
424,772,6,left,ACAv,ACAv5,mPFF,f,pSyn,0.000543946
401,810,4,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0
402,810,4,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0
403,810,4,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0
404,810,4,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0
405,810,9,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0
406,810,9,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0.000184322
407,810,9,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0.000491912
408,810,9,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0
410,810,6,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0.001542707
411,810,6,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0
412,810,6,left,ACAv,ACAv6a,mPFF,f,pSyn,0.00079481
413,810,4,left,ACAv,ACAv6a,mPFF,f,pSyn,0.000168328
414,810,4,left,ACAv,ACAv6a,mPFF,f,pSyn,0.000433657
415,810,4,left,ACAv,ACAv6a,mPFF,f,pSyn,0.001021035
416,810,4,left,ACAv,ACAv6a,mPFF,f,pSyn,0.006981853
417,810,9,left,ACAv,ACAv6a,mPFF,f,pSyn,0.007416736
419,810,9,left,ACAv,ACAv6a,mPFF,f,pSyn,0.00172185
420,810,9,left,ACAv,ACAv6a,mPFF,f,pSyn,0
421,810,9,left,ACAv,ACAv6a,mPFF,f,pSyn,0
422,810,6,left,ACAv,ACAv6a,AD PHF/mPFF,f,pSyn,0.000878818
423,810,6,left,ACAv,ACAv6a,mPFF,f,pSyn,0.013669406
424,810,6,left,ACAv,ACAv6a,mPFF,f,pSyn,0.000543946
401,819,4,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0
402,819,4,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0
403,819,4,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0
404,819,4,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0
405,819,9,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0
406,819,9,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0.000184322
407,819,9,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0.000491912
408,819,9,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0
410,819,6,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0.001542707
411,819,6,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0
412,819,6,left,ACAv,ACAv6b,mPFF,f,pSyn,0.00079481
413,819,4,left,ACAv,ACAv6b,mPFF,f,pSyn,0.000168328
414,819,4,left,ACAv,ACAv6b,mPFF,f,pSyn,0.000433657
415,819,4,left,ACAv,ACAv6b,mPFF,f,pSyn,0.001021035
416,819,4,left,ACAv,ACAv6b,mPFF,f,pSyn,0.006981853
417,819,9,left,ACAv,ACAv6b,mPFF,f,pSyn,0.007416736
419,819,9,left,ACAv,ACAv6b,mPFF,f,pSyn,0.00172185
420,819,9,left,ACAv,ACAv6b,mPFF,f,pSyn,0
421,819,9,left,ACAv,ACAv6b,mPFF,f,pSyn,0
422,819,6,left,ACAv,ACAv6b,AD PHF/mPFF,f,pSyn,0.000878818
423,819,6,left,ACAv,ACAv6b,mPFF,f,pSyn,0.013669406
424,819,6,left,ACAv,ACAv6b,mPFF,f,pSyn,0.000543946
401,56,4,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.000173121
402,56,4,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.001706238
403,56,4,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.00036405
404,56,4,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.003153944
405,56,9,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.000419912
406,56,9,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.000112684
407,56,9,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.001237029
408,56,9,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.002074537
410,56,6,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.000173222
411,56,6,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.000131356
412,56,6,left,ACB,ACB,mPFF,f,pSyn,0.003145575
413,56,4,left,ACB,ACB,mPFF,f,pSyn,0.001125438
414,56,4,left,ACB,ACB,mPFF,f,pSyn,0.01255979
415,56,4,left,ACB,ACB,mPFF,f,pSyn,0.000228249
416,56,4,left,ACB,ACB,mPFF,f,pSyn,0.000404084
417,56,9,left,ACB,ACB,mPFF,f,pSyn,0.000826195
419,56,9,left,ACB,ACB,mPFF,f,pSyn,0.00421202
420,56,9,left,ACB,ACB,mPFF,f,pSyn,0.002786732
421,56,9,left,ACB,ACB,mPFF,f,pSyn,8.94E-05
422,56,6,left,ACB,ACB,AD PHF/mPFF,f,pSyn,0.002233674
423,56,6,left,ACB,ACB,mPFF,f,pSyn,0.000471211
424,56,6,left,ACB,ACB,mPFF,f,pSyn,0.003192148
401,900,4,left,In,aco,AD PHF/mPFF,f,pSyn,0
402,900,4,left,In,aco,AD PHF/mPFF,f,pSyn,0
403,900,4,left,In,aco,AD PHF/mPFF,f,pSyn,0
404,900,4,left,In,aco,AD PHF/mPFF,f,pSyn,0
405,900,9,left,In,aco,AD PHF/mPFF,f,pSyn,0.000530132
406,900,9,left,In,aco,AD PHF/mPFF,f,pSyn,0
407,900,9,left,In,aco,AD PHF/mPFF,f,pSyn,0.000369943
408,900,9,left,In,aco,AD PHF/mPFF,f,pSyn,0
410,900,6,left,In,aco,AD PHF/mPFF,f,pSyn,0
411,900,6,left,In,aco,AD PHF/mPFF,f,pSyn,0
412,900,6,left,In,aco,mPFF,f,pSyn,0.00114757
413,900,4,left,In,aco,mPFF,f,pSyn,0
414,900,4,left,In,aco,mPFF,f,pSyn,0.000332022
415,900,4,left,In,aco,mPFF,f,pSyn,0.000503035
416,900,4,left,In,aco,mPFF,f,pSyn,0.001016265
417,900,9,left,In,aco,mPFF,f,pSyn,0.000592161
419,900,9,left,In,aco,mPFF,f,pSyn,0
420,900,9,left,In,aco,mPFF,f,pSyn,0
421,900,9,left,In,aco,mPFF,f,pSyn,0.001958125
422,900,6,left,In,aco,AD PHF/mPFF,f,pSyn,0
423,900,6,left,In,aco,mPFF,f,pSyn,0
424,900,6,left,In,aco,mPFF,f,pSyn,0.009886631
403,908,4,left,mfbc,act,AD PHF/mPFF,f,pSyn,0
419,908,9,left,mfbc,act,mPFF,f,pSyn,0
403,64,4,left,AD,AD,AD PHF/mPFF,f,pSyn,0
415,72,4,left,ADP,ADP,mPFF,f,pSyn,0
422,72,6,left,ADP,ADP,AD PHF/mPFF,f,pSyn,0
401,88,4,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0
402,88,4,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0
403,88,4,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0
404,88,4,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0.000539041
405,88,9,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0
406,88,9,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0.002012307
407,88,9,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0
408,88,9,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0
410,88,6,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0
411,88,6,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0
412,88,6,left,AHN,AHN,mPFF,f,pSyn,0.001169216
414,88,4,left,AHN,AHN,mPFF,f,pSyn,0
415,88,4,left,AHN,AHN,mPFF,f,pSyn,0
417,88,9,left,AHN,AHN,mPFF,f,pSyn,0
419,88,9,left,AHN,AHN,mPFF,f,pSyn,0.002047773
421,88,9,left,AHN,AHN,mPFF,f,pSyn,0.003291944
422,88,6,left,AHN,AHN,AD PHF/mPFF,f,pSyn,0.003603654
401,996,4,left,AId,AId1,AD PHF/mPFF,f,pSyn,0.000266059
402,996,4,left,AId,AId1,AD PHF/mPFF,f,pSyn,6.36E-05
403,996,4,left,AId,AId1,AD PHF/mPFF,f,pSyn,0
404,996,4,left,AId,AId1,AD PHF/mPFF,f,pSyn,0.001595533
405,996,9,left,AId,AId1,AD PHF/mPFF,f,pSyn,0.000300302
406,996,9,left,AId,AId1,AD PHF/mPFF,f,pSyn,0.005692812
407,996,9,left,AId,AId1,AD PHF/mPFF,f,pSyn,0
408,996,9,left,AId,AId1,AD PHF/mPFF,f,pSyn,0.003369808
410,996,6,left,AId,AId1,AD PHF/mPFF,f,pSyn,0.000206112
411,996,6,left,AId,AId1,AD PHF/mPFF,f,pSyn,7.22E-05
412,996,6,left,AId,AId1,mPFF,f,pSyn,0.000240602
413,996,4,left,AId,AId1,mPFF,f,pSyn,0.002834399
414,996,4,left,AId,AId1,mPFF,f,pSyn,0.000787753
415,996,4,left,AId,AId1,mPFF,f,pSyn,0.000129707
416,996,4,left,AId,AId1,mPFF,f,pSyn,0.000308463
417,996,9,left,AId,AId1,mPFF,f,pSyn,0.000224587
419,996,9,left,AId,AId1,mPFF,f,pSyn,0.001955903
420,996,9,left,AId,AId1,mPFF,f,pSyn,0
421,996,9,left,AId,AId1,mPFF,f,pSyn,8.05E-05
422,996,6,left,AId,AId1,AD PHF/mPFF,f,pSyn,0.000649811
423,996,6,left,AId,AId1,mPFF,f,pSyn,0
424,996,6,left,AId,AId1,mPFF,f,pSyn,0.000378107
401,328,4,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0.000266059
402,328,4,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,6.36E-05
403,328,4,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0
404,328,4,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0.001595533
405,328,9,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0.000300302
406,328,9,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0.005692812
407,328,9,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0
408,328,9,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0.003369808
410,328,6,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0.000206112
411,328,6,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,7.22E-05
412,328,6,left,AId,AId2/3,mPFF,f,pSyn,0.000240602
413,328,4,left,AId,AId2/3,mPFF,f,pSyn,0.002834399
414,328,4,left,AId,AId2/3,mPFF,f,pSyn,0.000787753
415,328,4,left,AId,AId2/3,mPFF,f,pSyn,0.000129707
416,328,4,left,AId,AId2/3,mPFF,f,pSyn,0.000308463
417,328,9,left,AId,AId2/3,mPFF,f,pSyn,0.000224587
419,328,9,left,AId,AId2/3,mPFF,f,pSyn,0.001955903
420,328,9,left,AId,AId2/3,mPFF,f,pSyn,0
421,328,9,left,AId,AId2/3,mPFF,f,pSyn,8.05E-05
422,328,6,left,AId,AId2/3,AD PHF/mPFF,f,pSyn,0.000649811
423,328,6,left,AId,AId2/3,mPFF,f,pSyn,0
424,328,6,left,AId,AId2/3,mPFF,f,pSyn,0.000378107
401,1101,4,left,AId,AId5,AD PHF/mPFF,f,pSyn,0.000266059
402,1101,4,left,AId,AId5,AD PHF/mPFF,f,pSyn,6.36E-05
403,1101,4,left,AId,AId5,AD PHF/mPFF,f,pSyn,0
404,1101,4,left,AId,AId5,AD PHF/mPFF,f,pSyn,0.001595533
405,1101,9,left,AId,AId5,AD PHF/mPFF,f,pSyn,0.000300302
406,1101,9,left,AId,AId5,AD PHF/mPFF,f,pSyn,0.005692812
407,1101,9,left,AId,AId5,AD PHF/mPFF,f,pSyn,0
408,1101,9,left,AId,AId5,AD PHF/mPFF,f,pSyn,0.003369808
410,1101,6,left,AId,AId5,AD PHF/mPFF,f,pSyn,0.000206112
411,1101,6,left,AId,AId5,AD PHF/mPFF,f,pSyn,7.22E-05
412,1101,6,left,AId,AId5,mPFF,f,pSyn,0.000240602
413,1101,4,left,AId,AId5,mPFF,f,pSyn,0.002834399
414,1101,4,left,AId,AId5,mPFF,f,pSyn,0.000787753
415,1101,4,left,AId,AId5,mPFF,f,pSyn,0.000129707
416,1101,4,left,AId,AId5,mPFF,f,pSyn,0.000308463
417,1101,9,left,AId,AId5,mPFF,f,pSyn,0.000224587
419,1101,9,left,AId,AId5,mPFF,f,pSyn,0.001955903
420,1101,9,left,AId,AId5,mPFF,f,pSyn,0
421,1101,9,left,AId,AId5,mPFF,f,pSyn,8.05E-05
422,1101,6,left,AId,AId5,AD PHF/mPFF,f,pSyn,0.000649811
423,1101,6,left,AId,AId5,mPFF,f,pSyn,0
424,1101,6,left,AId,AId5,mPFF,f,pSyn,0.000378107
401,783,4,left,AId,AId6a,AD PHF/mPFF,f,pSyn,0.000266059
402,783,4,left,AId,AId6a,AD PHF/mPFF,f,pSyn,6.36E-05
403,783,4,left,AId,AId6a,AD PHF/mPFF,f,pSyn,0
404,783,4,left,AId,AId6a,AD PHF/mPFF,f,pSyn,0.001595533
405,783,9,left,AId,AId6a,AD PHF/mPFF,f,pSyn,0.000300302
406,783,9,left,AId,AId6a,AD PHF/mPFF,f,pSyn,0.005692812
407,783,9,left,AId,AId6a,AD PHF/mPFF,f,pSyn,0
408,783,9,left,AId,AId6a,AD PHF/mPFF,f,pSyn,0.003369808
410,783,6,left,AId,AId6a,AD PHF/mPFF,f,pSyn,0.000206112
