amplitude,R2
0.0,-0.08720309828165185
0.04081632653061224,-0.9194265519594824
0.08163265306122448,-1.0600683106675794
0.12244897959183673,-1.1349917601587012
0.16326530612244897,-1.1885362907421562
0.20408163265306123,-1.2322853041187538
0.24489795918367346,-1.270813366661843
0.2857142857142857,-1.3063542390943872
0.32653061224489793,-1.3401104274958766
0.3673469387755102,-1.372864125290643
0.40816326530612246,-1.4050292671396702
0.4489795918367347,-1.4368370112726314
0.4897959183673469,-1.4685025642411875
0.5306122448979592,-1.5001975123046782
0.5714285714285714,-1.5320269223130305
0.6122448979591837,-1.5640588203647368
0.6530612244897959,-1.596330693442602
0.6938775510204082,-1.628837366209571
0.7346938775510204,-1.661702994048221
0.7755102040816326,-1.6949002055953803
0.8163265306122449,-1.7284441184149881
0.8571428571428571,-1.7623248170724857
0.8979591836734694,-1.7965645380361068
0.9387755102040817,-1.8311695277171638
0.9795918367346939,-1.8661509006834551
1.0204081632653061,-1.9015116408742085
1.0612244897959184,-1.937256178616754
1.1020408163265305,-1.973386009176168
1.1428571428571428,-2.0098986718451917
1.183673469387755,-2.0467864525359474
1.2244897959183674,-2.0840351991677664
1.2653061224489797,-2.121624397097712
1.3061224489795917,-2.1595468821880597
1.346938775510204,-2.1978087248623948
1.3877551020408163,-2.2364157132947304
1.4285714285714286,-2.2753704397680066
1.469387755102041,-2.3146729046169305
1.510204081632653,-2.3543191263643006
1.5510204081632653,-2.394300856409361
1.5918367346938775,-2.4346072833948624
1.6326530612244898,-2.4752276260947403
1.6734693877551021,-2.5161529549053028
1.7142857142857142,-2.557376543627177
1.7551020408163265,-2.5988931905266988
1.7959183673469388,-2.640698148813606
1.836734693877551,-2.6827860745674665
1.8775510204081634,-2.7251502427825813
1.9183673469387754,-2.7677814451114395
1.9591836734693877,-2.8106680706493523
2.0,-2.8537955939470327
