region,mean_post,sd_post,mean_prior,sd_prior,ks_pvalue,updated
iORBm,-0.09505169723267265,0.05935506582991355,0.0,1.0,0.0,1
iORBvl,0.3697177788701655,0.02593022213963854,0.0,1.0,0.0,1
iAId,0.7794449555033793,0.032415369171427025,0.0,1.0,0.0,1
iAIp,0.1604458384209699,0.04780559046982471,0.0,1.0,0.0,1
iAIv,-0.01728101541920251,0.06544617821018829,0.0,1.0,0.0,1
iRSPagl,-0.12234834117194285,0.21966179927052712,0.0,1.0,0.0,1
iRSPd,-0.9406654875369097,0.5666611725726131,0.0,1.0,0.0,1
iRSPv,-1.4754258232507491,0.5672161950688015,0.0,1.0,0.0,1
iVISa,0.26868325519241776,0.11868435603216543,0.0,1.0,0.0,1
iVISrl,0.5398105155339904,0.02998581916388323,0.0,1.0,0.0,1
iTEa,1.539137380263873,0.047184987505406624,0.0,1.0,0.0,1
iPERI,0.17673176846574296,0.045362393075479304,0.0,1.0,0.0,1
iECT,0.766381102728993,0.024427745873195694,0.0,1.0,0.0,1
iMOB,-0.10225453738239637,0.7967776087531673,0.0,1.0,3.474184252338312e-147,1
iAON,-0.23909142686379006,0.43584454052439314,0.0,1.0,0.0,1
iTT,-0.9251219294548817,0.42814199719250207,0.0,1.0,0.0,1
iDP,-1.1784223712025566,0.5135195678782094,0.0,1.0,0.0,1
iPIR,-0.8340202261619273,0.44932231286380075,0.0,1.0,0.0,1
iNLOT,-1.5243340730801993,0.5620141452003753,0.0,1.0,0.0,1
iCOAp,0.3625691280246969,0.020919986417198302,0.0,1.0,0.0,1
iPAA,-1.5620410899417108,0.35771320439183457,0.0,1.0,0.0,1
iTR,0.024415113738984924,0.030169173659845675,0.0,1.0,0.0,1
