amplitude,R2
0.0,-0.08720309828165185
0.04081632653061224,-2.8828950197579797
0.08163265306122448,-2.872184854698731
0.12244897959183673,-2.861926353778935
0.16326530612244897,-2.853076598007868
0.20408163265306123,-2.845463078799141
0.24489795918367346,-2.838843224063379
0.2857142857142857,-2.8330209349317825
0.32653061224489793,-2.8278486107869516
0.3673469387755102,-2.8232156455024175
0.40816326530612246,-2.819038097471469
0.4489795918367347,-2.8152516440501456
0.4897959183673469,-2.8118058230284184
0.5306122448979592,-2.8086602853635183
0.5714285714285714,-2.8057823010135627
0.6122448979591837,-2.8031449474068273
0.6530612244897959,-2.8007257860427193
0.6938775510204082,-2.798505881364843
0.7346938775510204,-2.7964690670703836
0.7755102040816326,-2.7946011824292505
0.8163265306122449,-2.79289012171765
0.8571428571428571,-2.791325877996223
0.8979591836734694,-2.7898993412790185
0.9387755102040817,-2.7886022440039344
0.9795918367346939,-2.7874271128451067
1.0204081632653061,-2.786367199796063
1.0612244897959184,-2.7854164072385137
1.1020408163265305,-2.7845692078109754
1.1428571428571428,-2.7838205728890983
1.183673469387755,-2.783165916016255
1.2244897959183674,-2.782601019379934
1.2653061224489797,-2.7821220042776442
1.3061224489795917,-2.781725268522816
1.346938775510204,-2.7814069480639736
1.3877551020408163,-2.7811640377201163
1.4285714285714286,-2.780993996492059
1.469387755102041,-2.7808943257662158
1.510204081632653,-2.7808625837243737
1.5510204081632653,-2.7808963991875424
1.5918367346938775,-2.780993463546493
1.6326530612244898,-2.7811515602381465
1.6734693877551021,-2.7813686047904684
1.7142857142857142,-2.781642612415506
1.7551020408163265,-2.781971692131084
1.7959183673469388,-2.782354046323143
1.836734693877551,-2.7827879719182933
1.8775510204081634,-2.783271851712186
1.9183673469387754,-2.783804153172044
1.9591836734693877,-2.7843834149964546
2.0,-2.785008250828129
