index,μA,μB,diff,category
1,-0.0030392321518964483,0.07198532951831345,0.07502456167020989,A only
2,-0.6598707754324343,-0.8197879073399987,-0.1599171319075644,A only
3,-0.0463032797795272,-0.1960074221578236,-0.1497041423782964,A only
4,0.21367000356991298,-0.08279153970132423,-0.2964615432712372,A only
5,-0.7741781198370782,-1.5848924243285332,-0.810714304491455,A only
6,-0.729646286783351,-1.299149337227317,-0.5695030504439661,A only
7,-0.10428617053963887,-0.05945472080573811,0.04483144973390076,none
8,-1.3062063010658116,-1.4206104397806298,-0.11440413871481825,A only
9,-1.7200839944513173,-2.035344348786852,-0.3152603543355348,A only
10,-1.8621823189351872,-2.0280607754686586,-0.16587845653347144,A only
11,-1.4526405004692764,-1.344117775520544,0.10852272494873239,A only
12,-0.8405352890159851,-1.020913377580936,-0.18037808856495097,A only
13,-0.6553389016221485,-0.5692249120719561,0.08611398955019234,A only
14,-2.5956169612177544,-2.7217858069059617,-0.1261688456882073,both
15,-1.1579515701168446,-2.599001024629825,-1.4410494545129806,both
16,-0.632279586654131,-1.0038755219210442,-0.37159593526691326,both
17,-1.9288514550601388,-1.9144292434694985,0.014422211590640277,both
18,-0.897366748557001,-2.009484676494902,-1.1121179279379008,A only
19,-1.6579539068906084,-2.752623180071359,-1.0946692731807506,both
20,-0.11351875142260402,-0.35676374798909305,-0.243244996566489,none
21,0.010416432295229728,0.018172247717469753,0.007755815422240025,none
22,-0.1804887531740982,-0.4292579827791209,-0.2487692296050227,B only
23,-0.16936503110963022,-0.2880746110503622,-0.11870957994073197,none
24,-0.5062871814238157,-0.9005124070486887,-0.39422522562487305,A only
25,-1.1550260216190573,-2.617149744229448,-1.4621237226103905,both
26,-0.40767807823115376,-0.4008178221905946,0.006860256040559176,A only
27,-0.47364033417204987,-1.3992301108092355,-0.9255897766371857,A only
28,-0.34882019045638357,-0.403950560065702,-0.05513036960931844,A only
29,0.5072626958930555,-1.0011031762337503,-1.5083658721268058,A only
30,0.28787794289660573,-0.18170160803993007,-0.4695795509365358,A only
31,2.2917089549395664,2.120401832996678,-0.17130712194288833,A only
32,1.5347419398845004,1.3056431333312564,-0.229098806553244,A only
33,-0.061470111503919324,-0.026460175461664213,0.03500993604225511,A only
34,-0.543060459559932,-0.5465776885171337,-0.0035172289572017457,A only
35,-0.1314733396751901,-0.31281787526678895,-0.18134453559159885,A only
36,-0.20266331026031953,-0.708622068819418,-0.5059587585590986,A only
37,-0.1049465870740058,-0.11872307081191075,-0.013776483737904952,none
38,-0.13115581552390862,-0.09727056279548282,0.033885252728425796,none
39,-2.881317482041805,-3.0903497739418264,-0.2090322919000216,A only
40,-2.824215950988602,-3.0350800818750114,-0.21086413088640965,both
41,-1.141727318360002,-1.1069098335222,0.034817484837802004,both
42,-1.410748652345142,-1.502462787987984,-0.09171413564284192,both
43,-0.9664028883331196,-0.997301276556,-0.03089838822288038,both
44,0.02140154574305679,1.300240994307076,1.2788394485640193,none
45,0.5698880302256087,0.019398761319775224,-0.5504892689058335,A only
