gene,r mean,r variance,pval mean,pval variance,portion
0610009B22Rik,0.1008498743267812,0.0026421222179483254,0.3451241669458701,0.041076053202068225,0.0
Sanbr,0.04848138475816162,0.003155207149382458,0.5578348231770286,0.06812668409884093,0.0
0610010K14Rik,0.1018370818056922,0.0031936106541554455,0.3511166413394693,0.049401198116349826,0.0
0610012G03Rik,0.019887200944264955,0.0043787702553968015,0.59314225125075,0.07509605282228599,0.0
0610030E20Rik,-0.11861900071359621,0.0030019135174457544,0.2715358808988245,0.060639414941205755,0.0
0610040J01Rik,-0.2077797251163672,0.0024269161137032815,0.05347835787008207,0.008052344207660187,0.0
1110002E22Rik,-0.30769722603816285,0.0018789058604144144,0.0020248510813085556,4.890639004934316e-6,0.0
1110004F10Rik,0.20385979690538525,0.0012782426479803735,0.040415711476363844,0.0008111691383131702,0.0
Bbln,-0.36626886241420203,0.002600043861185985,0.00020344635745485999,4.638999235755339e-8,0.2
Eola1,-0.12640357030026306,0.003359474830020628,0.24652905572576497,0.0365586754247168,0.0
1110017D15Rik,-0.2092156804031665,0.0012425347877152567,0.034713658168426156,0.000629604210500225,0.0
1110025L11Rik,-0.17674231311614105,0.001701234776817034,0.08525807296956582,0.007043366272371985,0.0
1110032A03Rik,0.09494016313023625,0.0008262345565668957,0.33656576137923216,0.019258715280511127,0.0
1110032F04Rik,-0.2881587531045671,0.0025249292320731415,0.00634674242957996,0.00012029038443107984,0.0
1110038F14Rik,-0.09831298688389467,0.002557062789287083,0.35738823316434976,0.05485942967602791,0.0
1110051M20Rik,0.23617144291638517,0.0010032269902263567,0.015367144033834598,8.92720527821171e-5,0.0
1110059E24Rik,-0.1455925315628791,0.002294992954431409,0.1661418517654915,0.01693060383288812,0.0
1110059G10Rik,-0.20948087800666232,0.0027896701731956273,0.0492949959210825,0.0027280189147144158,0.0
1110065P20Rik,-0.19184288261866128,0.003179715625265579,0.07678385421455056,0.009536157863440324,0.0
1190007I07Rik,0.020565642498519627,0.0038693668268623047,0.6468435569453794,0.08889256802365914,0.0
1300017J02Rik,-0.1584714822232937,0.0023521959451262638,0.12978274251821104,0.0100085703393692,0.0
1500009C09Rik,0.3185545819038421,0.0026498219558795427,0.0016360782422849575,3.601846398733753e-6,0.0
1500009L16Rik,-0.03523224161480283,0.0032104061177488123,0.6401597603257618,0.07763528609599331,0.0
1520401A03Rik,-0.18865814707652245,0.004257076156925051,0.09770686982848746,0.01889837932638226,0.0
1600012H06Rik,-0.21470249701528932,0.0026216159931601304,0.04215498426947226,0.0027821527925274325,0.0
1600014C10Rik,0.14261296544142615,0.0013366582561766976,0.15945748712577323,0.0217877971515524,0.0
1600014C23Rik,-0.18715100233014065,0.0029384803865693736,0.07586179042267464,0.0037518042887122547,0.0
1700001C19Rik,-0.27332916419714703,0.0021000839431620246,0.007460347347473545,7.367915256015976e-5,0.0
