gene,r mean,r variance,pval mean,pval variance,portion
0610009B22Rik,-0.02564790487849042,0.003840708827010032,0.6030001609118238,0.061980970827075446,0.0
Sanbr,0.07329156468887213,0.002406423092568648,0.4915057993258599,0.07482407593169532,0.0
0610010K14Rik,-0.06352898155567364,0.001586859397349135,0.5027921789335712,0.0437364937474517,0.0
0610012G03Rik,-0.023349824366169343,0.003565482494363869,0.5621924851062803,0.026383874618613214,0.0
0610030E20Rik,-0.01884119677673553,0.0009034838041836946,0.7683240615469054,0.02407557597136577,0.0
0610040J01Rik,0.009851413486368357,0.001804959611150551,0.7340732815814955,0.041444155514984905,0.0
1110002E22Rik,0.0885310222665138,0.0012302444022062322,0.37897232450992174,0.03866682344910017,0.0
1110004F10Rik,-0.061992601485413426,0.00013963587232951007,0.5171404613495184,0.0062278289261840526,0.0
Bbln,0.2377491030535121,0.001281944370793766,0.016603616857028453,0.0002166859034257616,0.0
Eola1,-0.03879687491791099,0.001429262469612079,0.6638910877784471,0.04674679572117245,0.0
1110017D15Rik,0.010482493888224403,0.0012323347092848124,0.7438823931743215,0.016019397983033798,0.0
1110025L11Rik,-0.063516922157589,0.00023655995376833317,0.5087522224456344,0.010982130889450064,0.0
1110032A03Rik,-0.055827303434752965,0.0050520168289930854,0.4960332718771704,0.09243463363183108,0.0
1110032F04Rik,0.08253000286099083,0.0017855062736166355,0.41411030105611707,0.06566081098934627,0.0
1110038F14Rik,-0.0039352501372506826,0.0007384996324353069,0.8324569326019251,0.018430541069951522,0.0
1110051M20Rik,-0.08879873401501064,0.0022106074049023368,0.39752868716592893,0.06264110091780475,0.0
1110059E24Rik,-0.08854507957705784,0.003737654751520757,0.34236845212466516,0.036250397407184116,0.0
1110059G10Rik,0.018017543736600562,0.0015195852188181875,0.7708866872063457,0.049230461722945595,0.0
1110065P20Rik,-0.06445653349593894,0.0016562368895804065,0.5313171106837141,0.06796557879742687,0.0
1190007I07Rik,-0.10803683505415865,0.0016005197864700582,0.291104112635759,0.037569597197316514,0.0
1300017J02Rik,-0.0063558565844795325,0.0021785864712110994,0.755556786999389,0.06119515782404027,0.0
1500009C09Rik,-0.12627119551396437,0.000743972687396005,0.1979725940387897,0.007405361128500407,0.0
1500009L16Rik,-0.01824883077029374,0.0026183185000537307,0.6674196002170733,0.047344055678380736,0.0
1520401A03Rik,-0.03876497358668757,0.0022592315855259216,0.6592086726568561,0.06978277694541346,0.0
1600012H06Rik,0.059229919863528956,0.0021095007176365347,0.548974643169809,0.07831954024185994,0.0
1600014C10Rik,-0.02767357541789519,0.0012601112508025792,0.6929493475262125,0.02805530781056692,0.0
1600014C23Rik,0.024795518502386493,0.000760000033628683,0.7745484284488297,0.031066288948941326,0.0
1700001C19Rik,0.09143908018224964,0.0011596034780199213,0.3623496432272707,0.029379924086839124,0.0
1700001K19Rik,0.06411107752223603,0.0009484877793870728,0.5187043805062717,0.044453225920870594,0.0
1700001L19Rik,0.1543308446445259,0.001970511881478215,0.1343571722008241,0.01025487965571568,0.0
1700001O22Rik,-0.04045364895400592,0.0038875615898340513,0.5734948378015926,0.07577566480996198,0.0
1700001P01Rik,0.022784082914997863,0.0009997715164688234,0.7301384972358482,0.0199821786829627,0.0
1700003E16Rik,0.014323865978892989,0.0019929594804707538,0.701705671157461,0.03551211686999564,0.0
1700003F12Rik,0.10441368650695078,0.0026472921783508314,0.3079336197979917,0.06267049307745153,0.0
1700003H04Rik,0.0031343187079421577,0.0017608992876140493,0.7404835633460669,0.03482195371996433,0.0
1700006A11Rik,0.03719545397995235,0.001391439823424899,0.7113870233657391,0.055319861498359005,0.0
1700007K13Rik,-0.03262316628080793,0.0017932759189366087,0.6978282822195915,0.0641029900095332,0.0
1700008O03Rik,0.11771178696163309,0.0009279972621947184,0.23505523778550813,0.014017062600025856,0.0
1700008P02Rik,0.10855933975042911,0.0012241526182031346,0.2804482733319757,0.025741867090730237,0.0
1700009N14Rik,0.08313021935782514,0.00026283509570625786,0.38752189948891125,0.00853963009595047,0.0
1700010B08Rik,0.10790499167027293,0.001384043607893186,0.286167694257699,0.04583877837514333,0.0
1700010I14Rik,0.0878189823055329,0.001125105812950187,0.3807372102152388,0.025018184809610863,0.0
1700011L22Rik,0.032268721690584964,0.0022487518469632792,0.6141356732830698,0.03541469957313969,0.0
1700012A03Rik,0.02289763481862751,0.0009956004514593336,0.7641523045160817,0.037597293331674095,0.0
1700012B07Rik,0.05665697171180878,0.0015337670689242369,0.5632530991962101,0.059845604016896585,0.0
1700012B09Rik,0.028822083897443052,0.0008970054500859864,0.7744388456403176,0.04919170965422304,0.0
1700012P22Rik,-0.020233993964714276,0.0024275755425608525,0.6860682062830331,0.05323806926370587,0.0
1700013D24Rik,0.017591626461761933,0.001069449968111739,0.7616784562445511,0.02681630958201054,0.0
1700013F07Rik,-0.012719467363422637,0.0027396788800046396,0.6739007631150606,0.046652912280576275,0.0
1700013G24Rik,0.012330189275791784,0.003016262994188665,0.64109229088062,0.0430931995232268,0.0
