Label,r
Olfr348,-0.4298589510397681
Gm15056,-0.44172590632473385
Shh,-0.434821373330656
Eloc,0.4314914799460369
Krt9,-0.4386984385410779
Ireb2,0.46885139983646185
Sbf2,-0.43458962043388033
Slc46a3,-0.42812919751340023
Trim21,-0.433771996906086
Vmn2r6,-0.4596145113541736
Klk7,-0.44730060862637183
4930407I10Rik,-0.43124453923519007
Sytl2,-0.4435000910847084
Ccdc194,-0.44280354738663874
Plcg2,-0.4500022884331869
Idh3g,0.43381654089487953
Ndufa4,0.4546996239134584
Atxn10,0.4801496004951391
Kcnip4,0.44425805287925524
Ptgis,-0.44100509920017306
Acin1,0.4498571198366517
Gdap1,0.4549743991290509
Sh3bgrl3,-0.4306008255419214
Ehbp1l1,-0.44096457136201633
Arl2,0.48145573645285794
Lrrc30,-0.46302393023987604
E2f6,0.4470311307816676
Gm597,-0.43175126882152487
Dpf2,0.44897453896336126
Isca1,0.4508388686284975
Des,-0.4366169836060687
U2surp,0.4398870989683958
Olfr951,-0.43774457081663215
Aif1,-0.4496559897073236
Casp1,-0.447753950525059
Prl7a2,-0.4407496446951021
Defb38,-0.4449818933342143
Mroh2a,-0.458437431763462
Cacnb3,-0.4353288686518992
Ckmt2,-0.4579417208421554
Ssxa1,-0.45415434849326686
Sebox,-0.46377358078079256
Gdpd1,0.45278611302136196
Tmem121b,-0.44865332408844444
Ptcd1,-0.4560065358951058
Cpne7,0.4390891820673524
Gm35060,-0.441402862706858
Zic5,-0.450599283366907
Fam228b,-0.44584595248708964
Vrk3,-0.4446901283015546
Igfn1,-0.438647765126622
Mapre3,0.45291385993808175
Cdkn1c,-0.4482374165667707
Panx2,0.4432158314192381
Lurap1,-0.438646241785436
Mfsd13a,-0.44252247417408097
Psca,-0.449795346056129
E330034G19Rik,-0.4339828183137042
4930555G01Rik,-0.44865307247174363
Ptk2,-0.4622838214354532
Sox18,-0.44346255075875335
Exoc3l4,-0.44609073327212284
Olfr332,-0.4389006297598585
Eefsec,-0.4500221210275639
Crispld1,-0.4548795152569309
Marcks,-0.4414622511700048
Kbtbd6,-0.46819400969832015
Hnrnph3,0.43515063224752176
Cldn13,-0.45150435493639013
Defb30,-0.45796377195236654
Ifna12,-0.45209840981263333
Gcc2,0.4369626153399586
Rps6ka3,-0.4461829197864418
Traf1,-0.4549458101225538
Rab19,-0.43292241639881174
Phf20l1,-0.456822916710927
Kcnv2,-0.4428427643454161
Nup210l,-0.4467829998407911
Hsd17b3,-0.43325286835242816
Vmn1r104,-0.46160029037699196
Slco1a4,-0.4518046460352989
Gm7347,-0.44027288146554433
Ctse,-0.44258231967141937
Btbd11,0.46130321211536457
Dbil5,-0.4375702935787258
Zmiz1,-0.4389917220811495
Diaph3,-0.45538628346250065
Ces1d,-0.4339691385499303
C7,-0.4497632653947396
Capn9,-0.4532969958344755
Rfc4,-0.4356847104270895
A930018O16Rik,-0.44579418055008363
Eef2k,-0.43550071790281164
Micos10,0.4338822108083655
Chrdl2,-0.44367167678664016
Nlrp5,-0.4317651572219184
Eml4,-0.4447003448713067
Stk4,-0.4299190660267312
Tmem147,0.45689589824720994
Nefm,0.4368425402732825
Bpifb1,-0.4348841956290932
Ttc3,0.4669279355669542
Btg2,-0.43519397749697175
Olfr1283,-0.43319058460799353
Olfr1410,-0.43906675710779974
Syp,0.4304193362703364
Tmem74b,-0.4377836590796109
Rab33b,-0.4650916275337346
Afp,-0.44257572881056717
Il31ra,-0.44038086860775455
Olig1,0.4592826703253057
Vinac1,-0.4495607124386449
Brip1,-0.45350672670041425
N4bp3,-0.4424369259074403
Fut7,-0.44960011360486957
Ccdc80,-0.4513370159328082
Sh3bp2,-0.44620838910539184
Skil,-0.448657958721997
Rhobtb2,-0.47632193523631017
Col20a1,-0.4532176419676899
Ryk,-0.441883150075242
Hnrnpc,0.44581420352260226
Sbno2,-0.44809675591448056
Spata33,-0.44848311907120775
Tfg,0.4660973294975665
Qprt,-0.45219735691602425
Uba1,0.4471937238122303
Krtap1-5,-0.43904308499342415
Dnajb7,-0.45102186128304983
Eif4a2,0.46196323624238406
Ifi211,-0.442377273656537
Spata20,-0.43461990870426087
Armcx2,0.4332923879862229
Srgn,-0.46127123748092425
Bcl2a1c,-0.4324544290179879
Dnaja1,0.4321826143816832
Setdb2,-0.4367250917578609
Adora2a,-0.4610124215196258
Tbx4,-0.43128961645746516
Tmco4,-0.4348556785040478
Spata6l,-0.45216148370127024
Rel,-0.4309059370414028
Serpina9,-0.4293225683678461
Bik,-0.44960929374402386
Olfr720,-0.4433285427610885
Ap4m1,-0.4394274523347608
Krt24,-0.43615910710971334
Erp27,-0.4431314730382129
Msr1,-0.4399127569565095
Pla2g4a,-0.43057901540640253
Vmn1r212,-0.45788724852693735
Syna,-0.4494391897345217
Fgd1,0.4403241957643377
Fscb,-0.4356648949617872
Gm31714,-0.45461941457929006
Pdzd2,-0.4357486628228625
Cnga4,-0.43341791228836607
Nsd2,0.43454119907453426
Tgm1,-0.45355778070484265
Cdkl4,-0.4343089265469935
Zfp418,-0.4495664072909234
Mapk8ip3,0.45546372193517765
Stn1,-0.4513585117771967
Gm32204,-0.44147511063019124
Tollip,0.44765550077701244
Fam126a,-0.44226408236210696
Cstl1,-0.44811240276057396
Prl8a8,-0.4321863676519534
Inpp5a,0.44215378682382966
Eda2r,-0.4572825180531709
Ccl6,-0.4522345058423759
Tspan2,0.4489013683814049
Gpx8,-0.4384078872389564
Cass4,-0.45328217962853556
Prex1,-0.4386888102364627
Spata45,-0.4393972761160312
Tgfb1i1,-0.44447663849887986
Cd74,-0.4372197942596121
Olfr1339,-0.43127526278664235
Tnfrsf19,-0.44073784207468236
3110067G11Rik,-0.4385124955242817
Zfp251,-0.4620120711071546
Ptprt,-0.431374660013434
Pebp4,-0.4275300149544186
H2ac1,-0.44205331474669257
Gm8369,-0.44522724441573064
Aqp12,-0.43660803469586607
Lzts1,-0.453318121987648
Oxnad1,-0.43515245366156363
Rims4,-0.4529219752869116
Glt8d2,-0.4420036596635583
Ssbp3,-0.44589906136874385
Afap1l1,-0.43700887941450084
Vmn2r116,-0.4447704326118224
Atp8b2,0.44820435236010014
Cpsf7,0.4629939224236295
Tas2r102,-0.4406060508450511
Cacfd1,-0.44134748155672215
Hoxd3,-0.4342908120006775
Gm11596,-0.4495069661724014
Tekt3,-0.4366363980366187
Exph5,-0.46059268497722355
Snap47,0.45473843834167593
Cdkn2c,-0.444793353513103
Gsdmc2,-0.43863651386416125
Dclk3,-0.4386228872916246
Vmn1r221,-0.4453340788971828
Gm51592,-0.4457546412288207
Lgmn,0.45482841616081804
Cdh9,-0.4370797818197615
Bhlha15,-0.4472545751500086
Adam6a,-0.4320978746960676
Mgat4b,-0.4407746003591207
Vmn1r22,-0.452684050867185
Chek1,-0.4407991077308286
Gpr132,-0.4377208886895311
Rab20,-0.4367074345188751
Kcne2,-0.4547706981328933
Fam167b,-0.4555123769719549
Daglb,-0.43746504725389773
Olfr835,-0.43929488365772
Adam2,-0.44182419353061686
Ktn1,0.45202561387736706
Cnga2,-0.4391806417896589
Sgk3,-0.45264142107067973
Odad2,-0.4399887946820133
Crtam,-0.441749030175849
Hcrtr1,-0.4318425968197058
Itgav,-0.4385736760610015
Gtf2i,0.44133515521921757
Col4a4,-0.44832419083592506
Rab40b,-0.44646028464187526
Csgalnact1,-0.45678718308102106
Clca3b,-0.4359174801711375
F9,-0.4420617488967924
Dscam,0.43900284275852014
Cd8b1,-0.4469517266014891
Tas2r138,-0.43646371030282266
Krt6b,-0.44148407884529045
Hck,-0.4455128213314233
Vmn1r68,-0.44239180863115335
Coa5,-0.4376816305029628
Vhl,-0.43328659340767123
Gm13271,-0.442979766022096
Tsga8,-0.4422816139947686
Atp2b4,-0.43164451411825167
Olfr924,-0.44084552988535725
Pak6,-0.43776819191213184
Spata31d1a,-0.4402801616656649
Mpped1,-0.4361600101552658
Slitrk5,-0.43373671625694865
Pdzrn4,-0.4374211909843372
