index,μA,μB,diff,category
1,0.11203585007395565,0.08292262839504037,-0.02911322167891528,A only
2,1.2054816503810715,1.1826784676299293,-0.022803182751142126,A only
3,2.310451375102484,2.2468642896577693,-0.06358708544471492,A only
4,-1.4530779092189883,-1.5413840137339487,-0.08830610451496046,A only
5,-0.1771489794467911,-0.22800815932618657,-0.05085917987939548,A only
6,-0.35076513838410184,-0.38415158057703447,-0.03338644219293263,A only
7,-1.5266051472051818,-1.6230726130989095,-0.09646746589372768,A only
8,0.03508120712772799,0.016899942661357404,-0.018181264466370587,A only
9,-0.3020044868078513,-0.32574502570766134,-0.023740538899810038,A only
10,-0.42424884904281746,-0.4344418261050999,-0.010192977062282449,A only
11,1.792564335800217,1.7660995513029447,-0.026464784497272298,both
12,0.0014973909416717082,-0.058461817391159625,-0.05995920833283133,A only
13,0.21225684208540088,0.19501685372538105,-0.01723998836001983,both
14,0.12251382729118215,0.12117290075489087,-0.0013409265362912814,both
15,0.3730613146083447,0.440751820328095,0.06769050571975033,both
16,-1.0865346791443646,-0.8903524565211187,0.19618222262324592,both
17,0.7232201475500315,0.7264996953227358,0.0032795477727043387,both
18,-1.0034417851473252,-1.0257803053352434,-0.022338520187918265,both
19,-0.7102051615051871,-0.7555645749800475,-0.04535941347486039,both
20,-0.9447153089055335,-0.998203830633447,-0.05348852172791352,both
21,-0.01757879376148811,-0.09292150746084936,-0.07534271369936124,A only
22,-0.8183408514701459,-0.8588946880150778,-0.04055383654493194,both
23,-1.3739870192654775,-1.510670937359446,-0.13668391809396851,A only
24,-1.2912102647902162,-1.3652521966978388,-0.07404193190762265,both
25,-0.1660807485252072,-0.18341211465195903,-0.017331366126751818,both
26,1.0044864875959019,0.9565229764729641,-0.04796351112293773,A only
27,-0.9600246959953556,-1.1003423709954607,-0.14031767500010517,A only
28,0.8096737363356135,0.7613368500593863,-0.04833688627622712,A only
29,-0.5041233779639092,-0.611664521252935,-0.10754114328902586,A only
30,0.40897228760805465,0.38779477955976194,-0.021177508048292715,A only
31,-0.28691352529819997,-0.341039958232335,-0.05412643293413505,A only
32,0.26802002534756436,0.2457535657958097,-0.022266459551754658,A only
33,0.7317908752288347,0.7096267313232067,-0.02216414390562793,A only
34,0.019139022531650444,-0.021428119658277876,-0.040567142189928324,both
35,-0.2690091199970711,-0.3189116209474164,-0.04990250095034526,A only
36,-0.3231185446148479,-0.44965352297182437,-0.12653497835697647,A only
37,-1.0877017917908915,-1.299006753451244,-0.2113049616603524,none
38,-1.634737997634772,-1.832012491548123,-0.19727449391335106,none
39,-0.1272149956198355,-0.14665371455902387,-0.01943871893918836,both
40,0.07510287274955177,0.06575980066664487,-0.009343072082906898,both
41,1.32360927435317,1.3047229340839706,-0.018886340269199442,both
42,-0.13317355074511286,-0.16588904394399812,-0.032715493198885254,both
43,0.5326985143922746,0.505993437164227,-0.026705077228047602,both
44,-0.485387799682267,-0.659486505486363,-0.17409870580409603,none
45,-0.3453607368246892,-0.5912630323790813,-0.24590229555439208,A only
46,-0.95816766771122,-1.1362579269260407,-0.1780902592148207,A only
47,-1.1976469650881016,-1.3537288095730393,-0.15608184448493767,both
48,-0.8444386257973782,-1.2809458355002608,-0.4365072097028826,A only
49,-1.45191371447301,-1.8044986543262274,-0.35258493985321726,none
50,0.36442322384623216,0.31705793281397404,-0.04736529103225812,A only
51,-1.6236087153406782,-1.8403252126148264,-0.2167164972741482,A only
52,-0.018962658506587765,-0.08109758759202432,-0.06213492908543655,both
53,-0.7361306961450299,-3.5209276199154984,-2.7847969237704686,B only
54,-1.400962069351831,-3.9824680841005193,-2.5815060147486886,B only
55,-0.7200124395860452,1.1764831000798412,1.8964955396658865,B only
56,-0.46628546919560365,3.0274184682094787,3.4937039374050824,B only
57,-0.9929856144225011,-4.256478426430916,-3.2634928120084146,B only
58,-0.8929578515271207,-3.1219346165500896,-2.228976765022969,A only
59,0.019551232604034054,-0.3952589046199083,-0.4148101372239424,both
60,0.08053173122117671,-0.32787148385857423,-0.40840321507975097,both
61,-1.0233239997463643,-1.5936531183453428,-0.5703291185989785,none
62,-1.1462014691984508,-3.386236443081044,-2.2400349738825933,none
63,-1.0813909915495856,-2.5842887422894574,-1.5028977507398718,none
64,-1.3682017330578746,-4.375041219676046,-3.006839486618171,A only
65,-1.8483792633888427,-3.9542705824893947,-2.105891319100552,B only
66,-1.9158114464628222,-2.4683222292183093,-0.5525107827554872,A only
67,-0.8300582466673848,-1.2850900597029193,-0.4550318130355345,none
68,-0.5600074097449549,-0.6360571621209173,-0.07604975237596245,A only
69,-0.04327213280651822,-0.10995664903434513,-0.06668451622782691,A only
70,-0.3404517095376127,-0.3751625549064051,-0.034710845368792376,both
71,1.2467987402471536,1.0038579273220825,-0.2429408129250712,both
72,0.5645880431120103,0.5095496352127598,-0.05503840789925052,A only
73,0.08161961582084509,0.017746199312569454,-0.06387341650827563,A only
74,10.103698271328225,9.940939123244881,-0.16275914808334413,A only
75,1.3630197603262169,1.079924981073392,-0.2830947792528249,A only
76,-0.5896489139657788,-0.791591265530161,-0.20194235156438223,A only
77,-0.7678336409267204,-1.0472403971853161,-0.2794067562585958,none
78,-0.3771243157144014,-0.7918026821321156,-0.41467836641771416,none
79,-0.8017707927808363,-1.0608738026818196,-0.25910300990098334,none
80,0.18333646896399608,0.10748930899416186,-0.07584715996983422,A only
81,-1.565713174071987,-1.6345206981741185,-0.06880752410213153,none
82,0.7926798148568233,0.7481018859987401,-0.044577928858083204,A only
83,-0.23251216511457312,-0.2790101235008112,-0.0464979583862381,A only
84,-0.08898658182419779,-0.5150573447504434,-0.4260707629262456,A only
85,-1.5802842341529388,-1.7122538233715343,-0.13196958921859547,none
86,-0.6605431970690917,-1.0503032726332182,-0.3897600755641265,none
87,-1.1484841641285488,-1.2132069307527191,-0.06472276662417031,A only
88,-1.1528566768065054,-3.0931644103078093,-1.940307733501304,none
89,-0.871415163247392,-1.4193608606083081,-0.5479456973609161,A only
90,0.6787662985031171,0.6349738964768642,-0.0437924020262529,A only
91,-2.0893113303420794,-2.142598891585944,-0.0532875612438648,none
92,-1.810738158750547,-1.9405486175645992,-0.12981045881405207,none
93,-1.89557523011274,-1.941274653959385,-0.04569942384664505,none
94,-1.794796241329021,-1.8286703057736746,-0.03387406444465357,none
95,-2.266420631731623,-2.350270371698373,-0.08384973996674994,A only
96,-1.9145683312009965,-1.984448975573706,-0.06988064437270958,A only
97,-1.5129213499616667,-1.538470373466663,-0.025549023504996216,none
98,-2.3347194851820032,-2.4102549509401126,-0.07553546575810932,none
99,-2.3196458223769807,-2.347431410996718,-0.027785588619737123,B only
100,-1.4594629462532382,-1.473059136111197,-0.013596189857958851,B only
101,-1.4039443401095164,-1.5244183844151815,-0.1204740443056651,none
102,-1.7536524806437137,-1.875889769079907,-0.1222372884361933,none
103,-2.2925612148645227,-2.3813508749715866,-0.0887896601070639,A only
104,-2.217003816113499,-2.286247371966246,-0.06924355585274711,none
105,-1.8939033422310947,-1.963619998427933,-0.06971665619683831,A only
106,-1.2733109928418134,-1.4753064993945681,-0.20199550655275478,none
107,-0.4826616934168992,-0.5080117769278247,-0.025350083510925547,both
108,-1.2573185917219432,-1.4388056913089637,-0.18148709958702058,A only
109,-2.0491882517318354,-2.1043094043611825,-0.05512115262934714,A only
110,-2.0957166952262605,-2.2683132453753836,-0.17259655014912312,none
111,-0.21252011104110985,-0.2944025786351282,-0.08188246759401835,A only
112,-1.719439574138174,-2.1006999377459405,-0.3812603636077665,A only
113,-2.8118364218107508,-3.5486582315806117,-0.7368218097698609,none
114,-0.3009996866474088,-0.33825037647184186,-0.03725068982443308,A only
115,-0.24679512662983127,-0.26658081896351826,-0.01978569233368699,A only
116,-1.7078118450063753,-1.75930391213906,-0.051492067132684616,A only
117,-1.2416608332946268,-1.3549869050360466,-0.11332607174141973,A only
118,-0.7830287755231277,-0.9039952702719383,-0.1209664947488106,A only
119,-2.4794058094653497,-2.5265988935913684,-0.047193084126018636,A only
120,-1.466771702439199,-1.6144035171401447,-0.14763181470094566,A only
121,-1.684168883181919,-1.6884109486193555,-0.0042420654374364375,A only
122,-1.8919371814624346,-1.91559418145115,-0.023656999988715288,none
123,-2.1132216540852724,-2.1534747486380628,-0.04025309455279036,none
124,-1.7994466222784427,-1.8057913139801687,-0.006344691701726024,none
125,-1.6177296777431016,-1.6779240085855405,-0.06019433084243886,none
126,-1.328281913181578,-1.4436370775696654,-0.11535516438808746,none
127,-0.7836158212963119,-0.9306586727518994,-0.1470428514555875,none
128,-1.0212655896692284,-1.147094383646487,-0.12582879397725866,none
129,-0.7579662682963713,-0.8724941951217476,-0.11452792682537638,none
130,-0.6684340798958132,-0.8395218606614093,-0.17108778076559616,A only
131,-0.8299239797963498,-0.9407094296963494,-0.11078544989999961,none
132,-0.7260129691585637,-0.9904967405383208,-0.2644837713797571,A only
133,-0.8216611585773737,-1.065835919337765,-0.24417476076039124,A only
134,-0.745590592046899,-0.944041190734335,-0.19845059868743598,none
135,-0.7570020438746808,-0.9116553839385878,-0.15465334006390696,A only
136,-0.8385302312155724,-0.9034167587634584,-0.06488652754788604,none
137,-0.7343322926755518,-0.8960887452475504,-0.16175645257199867,none
138,-0.845582339102526,-1.2204023292199053,-0.3748199901173793,A only
139,-0.8665952763428241,-1.3447367880948184,-0.4781415117519944,A only
140,-0.9420161486636867,-1.2611224391596962,-0.3191062904960096,B only
141,-0.7791825353133591,-0.9959360068346063,-0.21675347152124713,none
142,-0.7152381289690828,-0.9217059050888508,-0.20646777611976797,none
143,-0.8157372914750065,-1.1313868341869484,-0.3156495427119419,none
144,-0.45711317528320483,-0.8321730156900582,-0.37505984040685336,A only
145,-0.7763606256900134,-0.9705535686837256,-0.19419294299371215,none
146,-0.6321999994269484,-1.1532229888723973,-0.5210229894454489,A only
147,-0.5938785014554562,-0.9274849964228367,-0.3336064949673805,none
148,-0.7899127059983959,-0.9601106740650981,-0.17019796806670218,none
