amplitude,R2
0.0,-0.08720309828165185
0.04081632653061224,-4.81736267486462
0.08163265306122448,-4.671617162613416
0.12244897959183673,-4.608031992404161
0.16326530612244897,-4.581406593483762
0.20408163265306123,-4.575915451327749
0.24489795918367346,-4.583557844432841
0.2857142857142857,-4.599838401346031
0.32653061224489793,-4.6221678067031
0.3673469387755102,-4.648441957648533
0.40816326530612246,-4.677297994366599
0.4489795918367347,-4.70784740832705
0.4897959183673469,-4.739464272250536
0.5306122448979592,-4.771681567814353
0.5714285714285714,-4.804136041356383
0.6122448979591837,-4.836541478080396
0.6530612244897959,-4.868682422772362
0.6938775510204082,-4.900455188649671
0.7346938775510204,-4.9317240457258
0.7755102040816326,-4.96238525766943
0.8163265306122449,-4.992377619004153
0.8571428571428571,-5.021658176818538
0.8979591836734694,-5.05021806935051
0.9387755102040817,-5.078070692489459
0.9795918367346939,-5.105235447699694
1.0204081632653061,-5.131731698600747
1.0612244897959184,-5.157574176243672
1.1020408163265305,-5.182772762994555
1.1428571428571428,-5.2073316522986834
1.183673469387755,-5.2312497006564405
1.2244897959183674,-5.254521671500242
1.2653061224489797,-5.277144690894864
1.3061224489795917,-5.29915357361867
1.346938775510204,-5.320591588251124
1.3877551020408163,-5.341491941714657
1.4285714285714286,-5.361879269253574
1.469387755102041,-5.381772118366048
1.510204081632653,-5.401185602527004
1.5510204081632653,-5.420133563604771
1.5918367346938775,-5.438629818603095
1.6326530612244898,-5.456687561390524
1.6734693877551021,-5.474322403335631
1.7142857142857142,-5.491550990318413
1.7551020408163265,-5.508388696035485
1.7959183673469388,-5.524850675912811
1.836734693877551,-5.5409517408647995
1.8775510204081634,-5.556706199627192
1.9183673469387754,-5.572127779028624
1.9591836734693877,-5.587229526621307
2.0,-5.602023736685251
