index,μA,μB,diff,category
1,0.15142381462706964,0.1526460047598418,0.0012221901327721663,A only
2,-0.6808849853911677,-0.6861697971509609,-0.005284811759793229,A only
3,-0.14748425976530535,-0.14810163844906898,-0.0006173786837636308,A only
4,-0.05660566791384454,-0.040189369000385396,0.016416298913459144,A only
5,-1.3662906517297309,-1.375616466621852,-0.009325814892121143,A only
6,-1.1441051927371588,-1.1452163473931316,-0.0011111546559727792,A only
7,-0.07397828174758175,-0.09055874522919485,-0.0165804634816131,A only
8,-1.3095579623015758,-1.3138785591759279,-0.004320596874352045,A only
9,-1.8383733968158649,-1.810441721639345,0.027931675176519954,A only
10,-1.8911982473048832,-1.8892654372641884,0.001932810040694788,A only
11,-1.2698653837368543,-1.2833529428220858,-0.01348755908523147,both
12,-0.7955680722727636,-0.7979671201292825,-0.002399047856518899,A only
13,-0.4881010225353378,-0.4914902187273216,-0.003389196191983801,both
14,-2.477718099040988,-2.4788449134804553,-0.0011268144394671609,both
15,-2.574750538800479,-2.5556648617322684,0.01908567706821085,both
16,-1.0076445944152363,-1.0268987084002905,-0.019254113985054166,both
17,-1.765169666380237,-1.7705957798200262,-0.005426113439789271,both
18,-1.774322520948835,-1.7718759329102345,0.002446588038600428,both
19,-2.403712933101185,-2.392535721249987,0.01117721185119791,both
20,-0.32148710398367514,-0.34281946102444727,-0.021332357040772132,both
21,-0.0015759445944780997,0.009559006652479458,0.011134951246957557,A only
22,-0.25440939418805003,-0.21552295121941573,0.038886442968634305,both
23,-0.22003556333967497,-0.19634206904765714,0.023693494292017836,A only
24,-0.7344144991245756,-0.7482631041919909,-0.013848605067415365,both
25,-2.347091260563099,-2.332708495989742,0.014382764573356965,both
26,-0.3447157782204584,-0.34290627199161616,0.0018095062288422392,A only
27,-1.1297477871318102,-1.1385142331390894,-0.00876644600727916,A only
28,-0.3189821950091325,-0.3182319806165742,0.0007502143925582905,A only
29,-0.5438760519060932,-0.5927327848478061,-0.04885673294171289,A only
30,-0.047183124711699005,-0.048884872627222596,-0.001701747915523591,A only
31,2.2487711916182906,2.2254943690448528,-0.023276822573437883,A only
32,1.3787254860556666,1.37569743676771,-0.0030280492879566356,A only
33,0.03973297660056417,0.03788141611657617,-0.0018515604839879976,A only
34,-0.3994731771925696,-0.39825305468013195,0.001220122512437638,both
35,-0.14757827949733834,-0.16018617239352656,-0.012607892896188216,A only
36,-0.5508745942815586,-0.5378539780047116,0.01302061627684703,A only
37,-0.08319070122121443,-0.07659046692134114,0.006600234299873289,none
38,-0.10065867757574866,-0.12607070689237496,-0.025412029316626297,none
39,-2.817773805277826,-2.796149991868027,0.02162381340979902,both
40,-2.7835656123842263,-2.7969791602293275,-0.013413547845101181,both
41,-1.0350905258589536,-1.0418695887918257,-0.006779062932872115,both
42,-1.3197519323783022,-1.3224402792929437,-0.002688346914641482,both
43,-0.8845480989184971,-0.8859971577180225,-0.0014490587995253934,both
44,1.1717179079391118,1.145564129837667,-0.026153778101444702,none
45,0.07506599922181074,0.05244836949624794,-0.022617629725562804,A only
46,-0.039581606671704905,-0.07583128566089939,-0.036249678989194484,A only
47,-0.1284258761392089,-0.15894482528921583,-0.03051894915000694,both
48,-0.06404405202627488,-0.08300507161723075,-0.018961019590955877,A only
49,-0.05787042523297877,-0.08894831268685487,-0.031077887453876095,none
50,3.588060893159973,3.577662982636311,-0.010397910523662013,A only
51,0.11396157436607424,0.11336743156058704,-0.0005941428054871967,A only
52,-0.15755747769391973,-0.15769711244283507,-0.000139634748915346,both
53,-0.023192911209867637,-0.2135540480095692,-0.19036113679970157,B only
54,-0.11923087793855679,-0.7317914475374796,-0.6125605695989228,B only
55,-0.01452127254900608,-3.2764648034758235,-3.261943530926817,B only
56,-0.015067124663327745,-1.796891950724868,-1.7818248260615401,B only
57,-4.658537482351181e-5,-1.8414569913976506,-1.8414104060228271,B only
58,-0.18792149835149682,-0.969265751103354,-0.7813442527518571,A only
59,-2.3059429242369522,-2.764505094184297,-0.4585621699473448,both
60,1.2901153351856216,0.7947180138333304,-0.4953973213522912,both
61,-0.03906155562934968,-0.0771945305626462,-0.03813297493329652,none
62,-0.0704695692902892,-0.618414563528694,-0.5479449942384047,none
63,-0.05815038423549394,-0.28700591240018486,-0.2288555281646909,none
