amplitude,R2
0.0,-0.08720309828165185
0.04081632653061224,-2.955993160565266
0.08163265306122448,-2.9464141521624314
0.12244897959183673,-2.9368502306923188
0.16326530612244897,-2.928189986356843
0.20408163265306123,-2.920468095728148
0.24489795918367346,-2.913608608117269
0.2857142857142857,-2.90752420221022
0.32653061224489793,-2.9021353911183723
0.3673469387755102,-2.897372672209778
0.40816326530612246,-2.893176692991926
0.4489795918367347,-2.889496137458859
0.4897959183673469,-2.8862884064332994
0.5306122448979592,-2.8835146213486946
0.5714285714285714,-2.8811411908123725
0.6122448979591837,-2.8791387337340724
0.6530612244897959,-2.8774811775880607
0.6938775510204082,-2.8761452897336066
0.7346938775510204,-2.87511041016276
0.7755102040816326,-2.8743578071590052
0.8163265306122449,-2.8738704637245767
0.8571428571428571,-2.873632870095139
0.8979591836734694,-2.873630854173099
0.9387755102040817,-2.8738514232668377
0.9795918367346939,-2.874282506870493
1.0204081632653061,-2.8749134353794585
1.0612244897959184,-2.8757336822565533
1.1020408163265305,-2.8767337898102263
1.1428571428571428,-2.8779049908577785
1.183673469387755,-2.8792391421160892
1.2244897959183674,-2.88072851069425
1.2653061224489797,-2.882365866056591
1.3061224489795917,-2.8841444953087363
1.346938775510204,-2.886058063376058
1.3877551020408163,-2.8881005849119843
1.4285714285714286,-2.8902664036157506
1.469387755102041,-2.8925501690880306
1.510204081632653,-2.8949468167238543
1.5510204081632653,-2.897451548513199
1.5918367346938775,-2.900059815607263
1.6326530612244898,-2.902767300200384
1.6734693877551021,-2.905569904588492
1.7142857142857142,-2.9084637353382448
1.7551020408163265,-2.9114450901597553
1.7959183673469388,-2.914510446191529
1.836734693877551,-2.917657112554605
1.8775510204081634,-2.9208805164225136
1.9183673469387754,-2.9241782611797165
1.9591836734693877,-2.927547458649759
2.0,-2.930985363396313
